t,o,h,l,c,v
1724525760,354093.34136132,354093.34136134,354073.49738765,354093.34136133,0.01137499
1724525820,354092.04780238,354092.04780238,354092.04780238,354092.04780238,0.00002741
1724525880,354175.92132830,354175.92132830,354175.92132830,354175.92132830,0.00008385
1724525940,354175.92132831,354175.92132831,354175.92132831,354175.92132831,0.00030000
1724526060,354188.88000001,354188.88000001,354188.88000001,354188.88000001,0.00024144
1724526120,354188.88000001,354190.97886796,354188.88000001,354190.97886796,0.00101504
1724526180,354202.34411653,354263.44314822,354190.97886799,354263.44314822,0.00005851
1724526240,354262.50089933,354263.44314821,354262.50089933,354263.44314821,0.02844191
1724526300,354472.02268081,354673.00000000,354406.00481526,354406.00481526,0.03678304
1724526420,354492.59768487,354514.82513394,354488.88000000,354514.82513394,0.00067371
1724526480,354514.82513394,354669.67000000,354514.82513394,354669.67000000,0.00046041
1724526540,354400.92056243,354673.00000000,354400.92056243,354673.00000000,0.14012278
1724526600,354411.70083142,354411.70083143,354411.70083142,354411.70083143,0.00559515
1724526660,354411.70083143,354652.67000000,354303.20635761,354303.20635761,0.00132351
1724526720,354303.20635762,354327.53399725,354303.20635762,354327.53399725,0.00176458
1724526780,354583.67000000,354583.67000000,354583.67000000,354583.67000000,0.00001083
1724526840,354366.44637268,354398.26571806,354366.44637268,354398.26571806,0.00011601
1724526900,354492.90268712,354536.93920072,354473.08667230,354536.93920072,0.00031894
1724526960,354543.91560376,354543.91560376,354476.66228770,354524.95059368,0.00193636
1724527020,354524.95059368,354524.95059368,354381.34381383,354381.34381383,0.00061125
1724527140,354500.10050551,354536.94000000,354500.10050551,354536.94000000,0.00018137
1724527200,354392.43992776,354392.43992776,354283.76287053,354283.76287053,0.00005733
1724527260,354283.76287054,354536.94000000,354283.76287054,354287.09287054,0.00090280
1724527320,354287.09287054,354331.92621976,354175.30338887,354331.92621976,0.01746531
1724527380,354342.97894224,354342.97894224,354342.97894224,354342.97894224,0.00027744
1724527440,354340.25292517,354341.95447113,354340.25292517,354341.95447113,0.00012444
1724527500,354300.25694001,354498.67000000,354300.25694001,354498.67000000,0.00084643
1724527620,354303.18457499,354498.67000000,354303.18457499,354498.67000000,0.00031423
1724527680,354536.94000000,354536.94000000,354536.92968708,354536.94000000,0.02452782
1724527740,354536.92968708,354536.92968708,354536.92968708,354536.92968708,0.00000365
1724527800,354536.92968708,354536.94000000,354536.92968708,354536.94000000,0.00041159
1724527860,354536.94000000,354536.94000000,354536.92968708,354536.92968708,0.00002107
1724527920,354536.94000000,354536.94000000,354536.94000000,354536.94000000,0.00395580
